Start Day,Start Month,Year,End Month,End Day,Start Date (Temp),End Date (Temp),Start Date (String),End Date (String),FEDFUNDS
1,6,2008,6,30,6/1/2008,6/30/2008,6/2/2008,6/30/2008,2
1,7,2008,7,31,7/1/2008,7/31/2008,7/1/2008,7/31/2008,2.01
1,8,2008,8,31,8/1/2008,8/31/2008,8/1/2008,8/29/2008,2
1,9,2008,9,30,9/1/2008,9/30/2008,9/1/2008,9/30/2008,1.81
1,10,2008,10,31,10/1/2008,10/31/2008,10/1/2008,10/31/2008,0.97
1,11,2008,11,30,11/1/2008,11/30/2008,11/3/2008,11/28/2008,0.39
1,12,2008,12,31,12/1/2008,12/31/2008,12/1/2008,12/31/2008,0.16
1,1,2009,1,31,1/1/2009,1/31/2009,1/1/2009,1/30/2009,0.15
1,2,2009,2,28,2/1/2009,2/28/2009,2/2/2009,2/27/2009,0.22
1,3,2009,3,31,3/1/2009,3/31/2009,3/2/2009,3/31/2009,0.18
1,4,2009,4,30,4/1/2009,4/30/2009,4/1/2009,4/30/2009,0.15
1,5,2009,5,31,5/1/2009,5/31/2009,5/1/2009,5/29/2009,0.18
1,6,2009,6,30,6/1/2009,6/30/2009,6/1/2009,6/30/2009,0.21
1,7,2009,7,31,7/1/2009,7/31/2009,7/1/2009,7/31/2009,0.16
1,8,2009,8,31,8/1/2009,8/31/2009,8/3/2009,8/31/2009,0.16
1,9,2009,9,30,9/1/2009,9/30/2009,9/1/2009,9/30/2009,0.15
1,10,2009,10,31,10/1/2009,10/31/2009,10/1/2009,10/30/2009,0.12
1,11,2009,11,30,11/1/2009,11/30/2009,11/2/2009,11/30/2009,0.12
1,12,2009,12,31,12/1/2009,12/31/2009,12/1/2009,12/31/2009,0.12
1,1,2010,1,31,1/1/2010,1/31/2010,1/1/2010,1/29/2010,0.11
1,2,2010,2,28,2/1/2010,2/28/2010,2/1/2010,2/26/2010,0.13
1,3,2010,3,31,3/1/2010,3/31/2010,3/1/2010,3/31/2010,0.16
1,4,2010,4,30,4/1/2010,4/30/2010,4/1/2010,4/30/2010,0.2
1,5,2010,5,31,5/1/2010,5/31/2010,5/3/2010,5/31/2010,0.2
1,6,2010,6,30,6/1/2010,6/30/2010,6/1/2010,6/30/2010,0.18
1,7,2010,7,31,7/1/2010,7/31/2010,7/1/2010,7/30/2010,0.18
1,8,2010,8,31,8/1/2010,8/31/2010,8/2/2010,8/31/2010,0.19
1,9,2010,9,30,9/1/2010,9/30/2010,9/1/2010,9/30/2010,0.19
1,10,2010,10,31,10/1/2010,10/31/2010,10/1/2010,10/29/2010,0.19
1,11,2010,11,30,11/1/2010,11/30/2010,11/1/2010,11/30/2010,0.19
1,12,2010,12,31,12/1/2010,12/31/2010,12/1/2010,12/31/2010,0.18
1,1,2011,1,31,1/1/2011,1/31/2011,1/3/2011,1/31/2011,0.17
1,2,2011,2,28,2/1/2011,2/28/2011,2/1/2011,2/28/2011,0.16
1,3,2011,3,31,3/1/2011,3/31/2011,3/1/2011,3/31/2011,0.14
1,4,2011,4,30,4/1/2011,4/30/2011,4/1/2011,4/29/2011,0.1
1,5,2011,5,31,5/1/2011,5/31/2011,5/2/2011,5/31/2011,0.09
1,6,2011,6,30,6/1/2011,6/30/2011,6/1/2011,6/30/2011,0.09
1,7,2011,7,31,7/1/2011,7/31/2011,7/1/2011,7/29/2011,0.07
1,8,2011,8,31,8/1/2011,8/31/2011,8/1/2011,8/31/2011,0.1
1,9,2011,9,30,9/1/2011,9/30/2011,9/1/2011,9/30/2011,0.08
1,10,2011,10,31,10/1/2011,10/31/2011,10/3/2011,10/31/2011,0.07
1,11,2011,11,30,11/1/2011,11/30/2011,11/1/2011,11/30/2011,0.08
1,12,2011,12,31,12/1/2011,12/31/2011,12/1/2011,12/30/2011,0.07
1,1,2012,1,31,1/1/2012,1/31/2012,1/2/2012,1/31/2012,0.08
1,2,2012,2,29,2/1/2012,2/29/2012,2/1/2012,2/29/2012,0.1
1,3,2012,3,31,3/1/2012,3/31/2012,3/1/2012,3/30/2012,0.13
1,4,2012,4,30,4/1/2012,4/30/2012,4/2/2012,4/30/2012,0.14
1,5,2012,5,31,5/1/2012,5/31/2012,5/1/2012,5/31/2012,0.16
1,6,2012,6,30,6/1/2012,6/30/2012,6/1/2012,6/29/2012,0.16
1,7,2012,7,31,7/1/2012,7/31/2012,7/2/2012,7/31/2012,0.16
1,8,2012,8,31,8/1/2012,8/31/2012,8/1/2012,8/31/2012,0.13
1,9,2012,9,30,9/1/2012,9/30/2012,9/3/2012,9/28/2012,0.14
1,10,2012,10,31,10/1/2012,10/31/2012,10/1/2012,10/31/2012,0.16
1,11,2012,11,30,11/1/2012,11/30/2012,11/1/2012,11/30/2012,0.16
1,12,2012,12,31,12/1/2012,12/31/2012,12/3/2012,12/31/2012,0.16
1,1,2013,1,31,1/1/2013,1/31/2013,1/1/2013,1/31/2013,0.14
1,2,2013,2,28,2/1/2013,2/28/2013,2/1/2013,2/28/2013,0.15
1,3,2013,3,31,3/1/2013,3/31/2013,3/1/2013,3/29/2013,0.14
1,4,2013,4,30,4/1/2013,4/30/2013,4/1/2013,4/30/2013,0.15
1,5,2013,5,31,5/1/2013,5/31/2013,5/1/2013,5/31/2013,0.11
1,6,2013,6,30,6/1/2013,6/30/2013,6/3/2013,6/28/2013,0.09
1,7,2013,7,31,7/1/2013,7/31/2013,7/1/2013,7/31/2013,0.09
1,8,2013,8,31,8/1/2013,8/31/2013,8/1/2013,8/30/2013,0.08
1,9,2013,9,30,9/1/2013,9/30/2013,9/2/2013,9/30/2013,0.08
1,10,2013,10,31,10/1/2013,10/31/2013,10/1/2013,10/31/2013,0.09
1,11,2013,11,30,11/1/2013,11/30/2013,11/1/2013,11/29/2013,0.08
1,12,2013,12,31,12/1/2013,12/31/2013,12/2/2013,12/31/2013,0.09
1,1,2014,1,31,1/1/2014,1/31/2014,1/1/2014,1/31/2014,0.07
1,2,2014,2,28,2/1/2014,2/28/2014,2/3/2014,2/28/2014,0.07
1,3,2014,3,31,3/1/2014,3/31/2014,3/3/2014,3/31/2014,0.08
1,4,2014,4,30,4/1/2014,4/30/2014,4/1/2014,4/30/2014,0.09
1,5,2014,5,31,5/1/2014,5/31/2014,5/1/2014,5/30/2014,0.09
1,6,2014,6,30,6/1/2014,6/30/2014,6/2/2014,6/30/2014,0.1
1,7,2014,7,31,7/1/2014,7/31/2014,7/1/2014,7/31/2014,0.09
1,8,2014,8,31,8/1/2014,8/31/2014,8/1/2014,8/29/2014,0.09
1,9,2014,9,30,9/1/2014,9/30/2014,9/1/2014,9/30/2014,0.09
1,10,2014,10,31,10/1/2014,10/31/2014,10/1/2014,10/31/2014,0.09
1,11,2014,11,30,11/1/2014,11/30/2014,11/3/2014,11/28/2014,0.09
1,12,2014,12,31,12/1/2014,12/31/2014,12/1/2014,12/31/2014,0.12
1,1,2015,1,31,1/1/2015,1/31/2015,1/1/2015,1/30/2015,0.11
1,2,2015,2,28,2/1/2015,2/28/2015,2/2/2015,2/27/2015,0.11
1,3,2015,3,31,3/1/2015,3/31/2015,3/2/2015,3/31/2015,0.11
1,4,2015,4,30,4/1/2015,4/30/2015,4/1/2015,4/30/2015,0.12
1,5,2015,5,31,5/1/2015,5/31/2015,5/1/2015,5/29/2015,0.12
1,6,2015,6,30,6/1/2015,6/30/2015,6/1/2015,6/30/2015,0.13
1,7,2015,7,31,7/1/2015,7/31/2015,7/1/2015,7/31/2015,0.13
1,8,2015,8,31,8/1/2015,8/31/2015,8/3/2015,8/31/2015,0.14
1,9,2015,9,30,9/1/2015,9/30/2015,9/1/2015,9/30/2015,0.14
1,10,2015,10,31,10/1/2015,10/31/2015,10/1/2015,10/30/2015,0.12
1,11,2015,11,30,11/1/2015,11/30/2015,11/2/2015,11/30/2015,0.12
1,12,2015,12,31,12/1/2015,12/31/2015,12/1/2015,12/31/2015,0.24
1,1,2016,1,31,1/1/2016,1/31/2016,1/1/2016,1/29/2016,0.34
1,2,2016,2,29,2/1/2016,2/29/2016,2/1/2016,2/29/2016,0.38
1,3,2016,3,31,3/1/2016,3/31/2016,3/1/2016,3/31/2016,0.36
1,4,2016,4,30,4/1/2016,4/30/2016,4/1/2016,4/29/2016,0.37
1,5,2016,5,31,5/1/2016,5/31/2016,5/2/2016,5/31/2016,0.37
1,6,2016,6,30,6/1/2016,6/30/2016,6/1/2016,6/30/2016,0.38
1,7,2016,7,31,7/1/2016,7/31/2016,7/1/2016,7/29/2016,0.39
1,8,2016,8,31,8/1/2016,8/31/2016,8/1/2016,8/31/2016,0.4
1,9,2016,9,30,9/1/2016,9/30/2016,9/1/2016,9/30/2016,0.4
1,10,2016,10,31,10/1/2016,10/31/2016,10/3/2016,10/31/2016,0.4
1,11,2016,11,30,11/1/2016,11/30/2016,11/1/2016,11/30/2016,0.41
1,12,2016,12,31,12/1/2016,12/31/2016,12/1/2016,12/30/2016,0.54
1,1,2017,1,31,1/1/2017,1/31/2017,1/2/2017,1/31/2017,0.65
1,2,2017,2,28,2/1/2017,2/28/2017,2/1/2017,2/28/2017,0.66
1,3,2017,3,31,3/1/2017,3/31/2017,3/1/2017,3/31/2017,0.79
1,4,2017,4,30,4/1/2017,4/30/2017,4/3/2017,4/28/2017,0.9
1,5,2017,5,31,5/1/2017,5/31/2017,5/1/2017,5/31/2017,0.91
1,6,2017,6,30,6/1/2017,6/30/2017,6/1/2017,6/30/2017,1.04
1,7,2017,7,31,7/1/2017,7/31/2017,7/3/2017,7/31/2017,1.15
1,8,2017,8,31,8/1/2017,8/31/2017,8/1/2017,8/31/2017,1.16
1,9,2017,9,30,9/1/2017,9/30/2017,9/1/2017,9/29/2017,1.15
1,10,2017,10,31,10/1/2017,10/31/2017,10/2/2017,10/31/2017,1.15
1,11,2017,11,30,11/1/2017,11/30/2017,11/1/2017,11/30/2017,1.16
1,12,2017,12,31,12/1/2017,12/31/2017,12/1/2017,12/29/2017,1.3
1,1,2018,1,31,1/1/2018,1/31/2018,1/1/2018,1/31/2018,1.41
1,2,2018,2,28,2/1/2018,2/28/2018,2/1/2018,2/28/2018,1.42
1,3,2018,3,31,3/1/2018,3/31/2018,3/1/2018,3/30/2018,1.51
1,4,2018,4,30,4/1/2018,4/30/2018,4/2/2018,4/30/2018,1.69
1,5,2018,5,31,5/1/2018,5/31/2018,5/1/2018,5/31/2018,1.7
1,6,2018,6,30,6/1/2018,6/30/2018,6/1/2018,6/29/2018,1.82
1,7,2018,7,31,7/1/2018,7/31/2018,7/2/2018,7/31/2018,1.91
1,8,2018,8,31,8/1/2018,8/31/2018,8/1/2018,8/31/2018,1.91
1,9,2018,9,30,9/1/2018,9/30/2018,9/3/2018,9/28/2018,1.95
1,10,2018,10,31,10/1/2018,10/31/2018,10/1/2018,10/31/2018,2.19
1,11,2018,11,30,11/1/2018,11/30/2018,11/1/2018,11/30/2018,2.2
1,12,2018,12,31,12/1/2018,12/31/2018,12/3/2018,12/31/2018,2.27
1,1,2019,1,31,1/1/2019,1/31/2019,1/1/2019,1/31/2019,2.4
1,2,2019,2,28,2/1/2019,2/28/2019,2/1/2019,2/28/2019,2.4
1,3,2019,3,31,3/1/2019,3/31/2019,3/1/2019,3/29/2019,2.41
1,4,2019,4,30,4/1/2019,4/30/2019,4/1/2019,4/30/2019,2.42
1,5,2019,5,31,5/1/2019,5/31/2019,5/1/2019,5/31/2019,2.39
1,6,2019,6,30,6/1/2019,6/30/2019,6/3/2019,6/28/2019,2.38
1,7,2019,7,31,7/1/2019,7/31/2019,7/1/2019,7/31/2019,2.4
1,8,2019,8,31,8/1/2019,8/31/2019,8/1/2019,8/30/2019,2.13
1,9,2019,9,30,9/1/2019,9/30/2019,9/2/2019,9/30/2019,2.04
1,10,2019,10,31,10/1/2019,10/31/2019,10/1/2019,10/31/2019,1.83
1,11,2019,11,30,11/1/2019,11/30/2019,11/1/2019,11/29/2019,1.55
1,12,2019,12,31,12/1/2019,12/31/2019,12/2/2019,12/31/2019,1.55
1,1,2020,1,31,1/1/2020,1/31/2020,1/1/2020,1/31/2020,1.55
1,2,2020,2,29,2/1/2020,2/29/2020,2/3/2020,2/28/2020,1.58
1,3,2020,3,31,3/1/2020,3/31/2020,3/2/2020,3/31/2020,0.65
1,4,2020,4,30,4/1/2020,4/30/2020,4/1/2020,4/30/2020,0.05
1,5,2020,5,31,5/1/2020,5/31/2020,5/1/2020,5/29/2020,0.05
1,6,2020,6,30,6/1/2020,6/30/2020,6/1/2020,6/30/2020,0.08
1,7,2020,7,31,7/1/2020,7/31/2020,7/1/2020,7/31/2020,0.09
1,8,2020,8,31,8/1/2020,8/31/2020,8/3/2020,8/31/2020,0.1
1,9,2020,9,30,9/1/2020,9/30/2020,9/1/2020,9/30/2020,0.09
1,10,2020,10,31,10/1/2020,10/31/2020,10/1/2020,10/30/2020,0.09
1,11,2020,11,30,11/1/2020,11/30/2020,11/2/2020,11/30/2020,0.09
