"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 09, 2020","93.25","93.58","93.66","93.14","-","-0.20%"
"Sep 08, 2020","93.44","93.05","93.52","93.00","-","0.78%"
"Sep 07, 2020","92.72","92.97","93.09","92.72","-","0.00%"
"Sep 04, 2020","92.72","92.80","93.24","92.66","-","-0.02%"
"Sep 03, 2020","92.74","92.66","93.07","92.65","-","-0.12%"
"Sep 02, 2020","92.85","92.28","92.87","92.21","-","0.55%"
"Sep 01, 2020","92.34","92.18","92.40","91.75","-","0.21%"
"Aug 31, 2020","92.14","92.30","92.48","91.99","-","-0.25%"
"Aug 28, 2020","92.37","93.02","93.10","92.20","-","-0.68%"
"Aug 27, 2020","93.00","92.85","93.32","92.42","-","0.00%"
"Aug 26, 2020","93.01","93.02","93.36","92.85","-","-0.01%"
"Aug 25, 2020","93.02","93.28","93.35","92.97","-","-0.30%"
"Aug 24, 2020","93.30","93.20","93.34","92.84","-","0.05%"
"Aug 21, 2020","93.25","92.72","93.47","92.57","-","0.49%"
"Aug 20, 2020","92.79","92.96","93.24","92.73","-","-0.10%"
"Aug 19, 2020","92.89","92.28","93.05","92.15","-","0.67%"
"Aug 18, 2020","92.27","92.82","92.82","92.13","-","-0.62%"
"Aug 17, 2020","92.85","93.10","93.12","92.77","-","-0.26%"
"Aug 14, 2020","93.10","93.22","93.41","93.01","-","-0.26%"
"Aug 13, 2020","93.33","93.36","93.39","92.93","-","-0.12%"
"Aug 12, 2020","93.44","93.68","93.90","93.27","-","-0.20%"
"Aug 11, 2020","93.63","93.60","93.74","93.17","-","0.05%"
"Aug 10, 2020","93.58","93.39","93.69","93.30","-","0.16%"
"Aug 07, 2020","93.43","92.81","93.62","92.76","-","0.70%"
"Aug 06, 2020","92.79","92.77","93.09","92.52","-","-0.09%"
"Aug 05, 2020","92.87","93.23","93.25","92.56","-","-0.55%"
"Aug 04, 2020","93.38","93.56","93.83","93.23","-","-0.17%"
"Aug 03, 2020","93.54","93.46","93.99","93.32","-","0.21%"
"Jul 31, 2020","93.35","92.82","93.54","92.55","-","0.35%"
"Jul 30, 2020","93.02","93.32","93.68","92.93","-","-0.46%"
"Jul 29, 2020","93.45","93.75","93.80","93.18","-","-0.26%"
"Jul 28, 2020","93.70","93.58","94.01","93.49","-","0.03%"
"Jul 27, 2020","93.67","94.35","94.42","93.48","-","-0.81%"
"Jul 24, 2020","94.43","94.77","94.83","94.33","-","-0.27%"
"Jul 23, 2020","94.69","94.98","95.18","94.59","-","-0.31%"
"Jul 22, 2020","94.99","95.13","95.41","94.83","-","-0.14%"
"Jul 21, 2020","95.12","95.75","95.92","95.05","-","-0.75%"
"Jul 20, 2020","95.83","96.01","96.18","95.73","-","-0.11%"
"Jul 17, 2020","95.94","96.28","96.33","95.90","-","-0.42%"
"Jul 16, 2020","96.35","96.00","96.40","95.89","-","0.28%"
"Jul 15, 2020","96.08","96.17","96.25","95.78","-","-0.18%"
"Jul 14, 2020","96.26","96.54","96.70","96.18","-","-0.21%"
"Jul 13, 2020","96.46","96.66","96.68","96.27","-","-0.19%"
"Jul 10, 2020","96.65","96.75","96.97","96.44","-","-0.05%"
"Jul 09, 2020","96.70","96.45","96.81","96.24","-","0.28%"
"Jul 08, 2020","96.43","96.99","97.05","96.40","-","-0.47%"
"Jul 07, 2020","96.88","96.75","97.15","96.60","-","0.16%"
"Jul 06, 2020","96.72","97.15","97.19","96.57","-","-0.46%"
"Jul 03, 2020","97.17","97.21","97.36","97.12","-","-0.15%"
"Jul 02, 2020","97.32","97.14","97.34","96.81","-","0.12%"
"Jul 01, 2020","97.20","97.39","97.62","97.03","-","-0.20%"
"Jun 30, 2020","97.39","97.40","97.80","97.23","-","-0.15%"
"Jun 29, 2020","97.54","97.50","97.65","97.11","-","0.11%"
"Jun 26, 2020","97.43","97.35","97.68","97.26","-","0.00%"
"Jun 25, 2020","97.43","97.24","97.60","97.16","-","0.29%"
"Jun 24, 2020","97.15","96.66","97.24","96.55","-","0.52%"
"Jun 23, 2020","96.65","96.93","97.25","96.39","-","-0.40%"
"Jun 22, 2020","97.04","97.66","97.74","97.00","-","-0.60%"
"Jun 19, 2020","97.62","97.42","97.72","97.16","-","0.21%"
"Jun 18, 2020","97.42","97.08","97.58","96.95","-","0.27%"
"Jun 17, 2020","97.16","97.01","97.34","96.80","-","0.21%"
"Jun 16, 2020","96.96","96.56","97.25","96.43","-","0.26%"
"Jun 15, 2020","96.71","97.09","97.39","96.60","-","-0.63%"
"Jun 12, 2020","97.32","96.81","97.45","96.49","-","0.61%"
"Jun 11, 2020","96.73","96.09","96.83","95.95","-","0.81%"
"Jun 10, 2020","95.96","96.43","96.46","95.72","-","-0.38%"
"Jun 09, 2020","96.32","96.63","97.06","96.23","-","-0.30%"
"Jun 08, 2020","96.62","96.84","97.07","96.60","-","-0.33%"
"Jun 05, 2020","96.94","96.74","97.03","96.44","-","0.27%"
"Jun 04, 2020","96.68","97.32","97.63","96.57","-","-0.62%"
"Jun 03, 2020","97.28","97.57","97.63","97.18","-","-0.41%"
"Jun 02, 2020","97.67","97.84","97.91","97.43","-","-0.16%"
"Jun 01, 2020","97.83","98.30","98.32","97.79","-","-0.52%"
"May 29, 2020","98.34","98.51","98.55","97.94","-","-0.04%"
"May 28, 2020","98.38","98.91","99.09","98.35","-","-0.69%"
"May 27, 2020","99.06","99.02","99.34","98.72","-","0.16%"
"May 26, 2020","98.91","99.76","99.77","98.90","-","-0.96%"
"May 25, 2020","99.86","99.79","99.97","99.69","-","0.00%"
"May 22, 2020","99.86","99.42","99.87","99.39","-","0.50%"
"May 21, 2020","99.37","99.18","99.51","99.02","-","0.25%"
"May 20, 2020","99.12","99.55","99.56","99.00","-","-0.25%"
"May 19, 2020","99.37","99.62","99.73","99.23","-","-0.29%"
"May 18, 2020","99.67","100.36","100.47","99.58","-","-0.73%"
"May 15, 2020","100.40","100.26","100.49","100.08","-","-0.06%"
"May 14, 2020","100.47","100.19","100.56","100.15","-","0.22%"
"May 13, 2020","100.24","100.01","100.28","99.58","-","0.31%"
"May 12, 2020","99.93","100.23","100.44","99.66","-","-0.30%"
"May 11, 2020","100.24","99.12","100.28","99.12","-","0.50%"
"May 08, 2020","99.73","99.84","99.94","99.10","-","-0.16%"
"May 07, 2020","99.89","100.21","100.40","99.81","-","-0.20%"
"May 06, 2020","100.09","99.79","100.20","99.75","-","0.38%"
"May 05, 2020","99.71","99.51","99.97","99.30","-","0.23%"
"May 04, 2020","99.48","98.57","99.60","98.57","-","0.41%"
"May 01, 2020","99.08","99.13","99.21","98.64","-","0.06%"
"Apr 30, 2020","99.02","99.48","99.72","98.81","-","-0.55%"
"Apr 29, 2020","99.57","99.88","99.89","99.46","-","-0.30%"
"Apr 28, 2020","99.86","100.06","100.21","99.45","-","-0.18%"
"Apr 27, 2020","100.04","100.23","100.32","99.83","-","-0.34%"
"Apr 24, 2020","100.38","100.50","100.87","100.19","-","-0.05%"
"Apr 23, 2020","100.43","100.45","100.69","100.04","-","0.04%"
"Apr 22, 2020","100.39","100.21","100.50","99.90","-","0.13%"
"Apr 21, 2020","100.26","99.94","100.48","99.93","-","0.30%"
"Apr 20, 2020","99.96","99.71","100.07","99.65","-","0.17%"
"Apr 17, 2020","99.78","99.86","100.29","99.62","-","-0.24%"
"Apr 16, 2020","100.03","99.63","100.30","99.61","-","0.57%"
"Apr 15, 2020","99.46","98.82","99.98","98.82","-","0.58%"
"Apr 14, 2020","98.89","99.38","99.43","98.82","-","-0.46%"
"Apr 13, 2020","99.35","99.49","99.63","99.14","-","-0.17%"
"Apr 10, 2020","99.52","99.58","99.63","99.36","-","0.00%"
"Apr 09, 2020","99.52","100.13","100.30","99.36","-","-0.60%"
"Apr 08, 2020","100.12","99.91","100.43","99.90","-","0.22%"
"Apr 07, 2020","99.90","100.75","100.79","99.77","-","-0.78%"
"Apr 06, 2020","100.68","100.66","100.93","100.47","-","0.11%"
"Apr 03, 2020","100.58","100.20","100.85","100.14","-","0.40%"
"Apr 02, 2020","100.18","99.51","100.41","99.33","-","0.51%"
"Apr 01, 2020","99.67","99.01","99.84","98.91","-","0.63%"
"Mar 31, 2020","99.05","99.25","99.95","98.89","-","-0.13%"
"Mar 30, 2020","99.18","98.31","99.32","98.29","-","0.83%"
"Mar 27, 2020","98.36","99.29","99.81","98.27","-","-0.99%"
"Mar 26, 2020","99.35","100.96","101.02","99.24","-","-1.68%"
"Mar 25, 2020","101.05","101.60","101.91","100.84","-","-0.97%"
"Mar 24, 2020","102.04","102.13","102.21","101.05","-","-0.44%"
"Mar 23, 2020","102.49","101.95","102.98","101.65","-","-0.32%"
"Mar 20, 2020","102.82","102.94","102.99","101.09","-","-0.16%"
"Mar 19, 2020","102.99","100.79","102.99","100.78","-","1.80%"
"Mar 18, 2020","101.16","99.38","101.74","99.15","-","1.59%"
"Mar 17, 2020","99.58","98.14","99.83","97.98","-","1.54%"
"Mar 16, 2020","98.07","98.70","98.70","97.45","-","-0.69%"
"Mar 13, 2020","98.75","97.45","98.81","97.33","-","1.31%"
"Mar 12, 2020","97.47","96.65","98.31","96.08","-","0.99%"
"Mar 11, 2020","96.51","96.33","96.69","95.91","-","0.10%"
"Mar 10, 2020","96.41","95.34","96.58","95.23","-","1.60%"
"Mar 09, 2020","94.89","96.11","95.79","94.65","-","-1.10%"
"Mar 06, 2020","95.95","96.61","96.70","95.71","-","-0.90%"
"Mar 05, 2020","96.82","97.38","97.44","96.52","-","-0.53%"
"Mar 04, 2020","97.34","97.17","97.59","97.12","-","0.20%"
"Mar 03, 2020","97.15","97.56","97.69","96.98","-","-0.22%"
"Mar 02, 2020","97.36","98.12","98.12","97.18","-","-0.78%"
"Feb 28, 2020","98.13","98.42","98.66","97.96","-","-0.39%"
"Feb 27, 2020","98.51","99.02","99.05","98.36","-","-0.49%"
"Feb 26, 2020","99.00","99.08","99.27","98.91","-","0.03%"
"Feb 25, 2020","98.97","99.33","99.39","98.88","-","-0.39%"
"Feb 24, 2020","99.36","99.34","99.64","99.11","-","0.10%"
"Feb 21, 2020","99.26","99.86","99.87","99.23","-","-0.60%"
"Feb 20, 2020","99.86","99.54","99.91","99.53","-","0.16%"
"Feb 19, 2020","99.70","99.43","99.72","99.38","-","0.26%"
"Feb 18, 2020","99.44","99.19","99.47","99.14","-","0.44%"
"Feb 17, 2020","99.00","99.16","99.21","99.00","-","-0.12%"
"Feb 14, 2020","99.12","99.12","99.17","99.00","-","0.05%"
"Feb 13, 2020","99.07","98.99","99.11","98.85","-","0.02%"
"Feb 12, 2020","99.05","98.77","99.05","98.70","-","0.33%"
"Feb 11, 2020","98.72","98.86","98.95","98.71","-","-0.11%"
"Feb 10, 2020","98.83","98.70","98.88","98.60","-","0.15%"
"Feb 07, 2020","98.68","98.46","98.72","98.42","-","0.18%"
"Feb 06, 2020","98.50","98.29","98.57","98.21","-","0.20%"
"Feb 05, 2020","98.30","97.94","98.32","97.90","-","0.35%"
"Feb 04, 2020","97.96","97.82","98.01","97.79","-","0.16%"
"Feb 03, 2020","97.80","97.37","97.89","97.37","-","0.42%"
"Jan 31, 2020","97.39","97.87","97.97","97.35","-","-0.49%"
"Jan 30, 2020","97.87","98.03","98.07","97.79","-","-0.12%"
"Jan 29, 2020","97.99","97.95","98.19","97.94","-","-0.03%"
"Jan 28, 2020","98.02","97.95","98.16","97.90","-","0.06%"
"Jan 27, 2020","97.96","97.88","98.00","97.78","-","0.11%"
"Jan 24, 2020","97.85","97.72","97.95","97.67","-","0.16%"
"Jan 23, 2020","97.69","97.48","97.80","97.43","-","0.16%"
"Jan 22, 2020","97.53","97.62","97.69","97.44","-","0.00%"
"Jan 21, 2020","97.53","97.63","97.66","97.39","-","-0.08%"
"Jan 20, 2020","97.61","97.64","97.73","97.58","-","-0.03%"
"Jan 17, 2020","97.64","97.30","97.66","97.27","-","0.33%"
"Jan 16, 2020","97.32","97.18","97.36","97.08","-","0.09%"
"Jan 15, 2020","97.23","97.38","97.44","97.16","-","-0.14%"
"Jan 14, 2020","97.37","97.36","97.56","97.33","-","0.03%"
"Jan 13, 2020","97.34","97.35","97.53","97.31","-","-0.02%"
"Jan 10, 2020","97.36","97.43","97.58","97.30","-","-0.09%"
"Jan 09, 2020","97.45","97.27","97.56","97.25","-","0.15%"
"Jan 08, 2020","97.30","96.83","97.35","96.82","-","0.31%"
"Jan 07, 2020","97.00","96.65","97.09","96.62","-","0.34%"
"Jan 06, 2020","96.67","96.90","96.90","96.54","-","-0.18%"
"Jan 03, 2020","96.84","96.79","97.11","96.71","-","-0.01%"
"Jan 02, 2020","96.85","96.48","96.87","96.42","-","0.48%"
"Jan 01, 2020","96.39","96.50","97.10","96.39","-","0.00%"
